[PERF_PROFILE] cyc=35000000 itlb_lookups=13843938 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=31239 ptw_busy_cycles=20504237 ptw_faults=487 fe_stall_total=19026543 fe_stall_xlate=12863412 fe_stall_icache=721706 fe_stall_backend=5441425 flush_commit=363611 flush_bru=0 flush_satp=7 dtlb_lookups=10391448 dtlb_misses=454864 dcache_accesses=4901298 dcache_misses=382779
[PERF_PROFILE] cyc=36000000 itlb_lookups=14334300 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=32016 ptw_busy_cycles=21479271 ptw_faults=553 fe_stall_total=19524143 fe_stall_xlate=13351701 fe_stall_icache=722685 fe_stall_backend=5449757 flush_commit=377699 flush_bru=0 flush_satp=7 dtlb_lookups=10631022 dtlb_misses=456477 dcache_accesses=5022659 dcache_misses=387199
[PERF_PROFILE] cyc=37000000 itlb_lookups=14823929 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=32761 ptw_busy_cycles=22456400 ptw_faults=597 fe_stall_total=20023436 fe_stall_xlate=13837942 fe_stall_icache=723963 fe_stall_backend=5461531 flush_commit=391514 flush_bru=0 flush_satp=7 dtlb_lookups=10875145 dtlb_misses=458029 dcache_accesses=5144264 dcache_misses=391746
[PERF_PROFILE] cyc=38000000 itlb_lookups=15314068 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=33512 ptw_busy_cycles=23415361 ptw_faults=639 fe_stall_total=20521249 fe_stall_xlate=14325804 fe_stall_icache=724994 fe_stall_backend=5470451 flush_commit=405653 flush_bru=0 flush_satp=7 dtlb_lookups=11116988 dtlb_misses=459594 dcache_accesses=5266289 dcache_misses=396363
[PERF_PROFILE] cyc=39000000 itlb_lookups=15804278 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=34238 ptw_busy_cycles=24394169 ptw_faults=688 fe_stall_total=21019963 fe_stall_xlate=14813370 fe_stall_icache=726202 fe_stall_backend=5480391 flush_commit=419369 flush_bru=0 flush_satp=7 dtlb_lookups=11356549 dtlb_misses=461123 dcache_accesses=5386684 dcache_misses=400639
[PERF_PROFILE] cyc=40000000 itlb_lookups=16295161 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=35024 ptw_busy_cycles=25317696 ptw_faults=785 fe_stall_total=21517176 fe_stall_xlate=15302625 fe_stall_icache=726995 fe_stall_backend=5487556 flush_commit=433877 flush_bru=0 flush_satp=7 dtlb_lookups=11591154 dtlb_misses=462916 dcache_accesses=5511302 dcache_misses=405367
[PERF_PROFILE] cyc=41000000 itlb_lookups=16787545 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=35693 ptw_busy_cycles=26296443 ptw_faults=802 fe_stall_total=22017172 fe_stall_xlate=15792829 fe_stall_icache=727941 fe_stall_backend=5496402 flush_commit=446183 flush_bru=0 flush_satp=7 dtlb_lookups=11780776 dtlb_misses=464741 dcache_accesses=5611896 dcache_misses=410368
[PERF_PROFILE] cyc=42000000 itlb_lookups=17268308 itlb_misses=177037 ptw_walks_itlb=6050 ptw_walks_dtlb=36998 ptw_busy_cycles=27188075 ptw_faults=851 fe_stall_total=22524627 fe_stall_xlate=16266604 fe_stall_icache=731192 fe_stall_backend=5526831 flush_commit=464380 flush_bru=0 flush_satp=7 dtlb_lookups=12041865 dtlb_misses=469786 dcache_accesses=5736527 dcache_misses=420118
[PERF_PROFILE] cyc=43000000 itlb_lookups=17753996 itlb_misses=177418 ptw_walks_itlb=6063 ptw_walks_dtlb=37381 ptw_busy_cycles=27917288 ptw_faults=877 fe_stall_total=23023023 fe_stall_xlate=16748652 fe_stall_icache=732653 fe_stall_backend=5541718 flush_commit=482812 flush_bru=0 flush_satp=7 dtlb_lookups=12250087 dtlb_misses=472096 dcache_accesses=5864286 dcache_misses=425409
[PERF_PROFILE] cyc=44000000 itlb_lookups=18238664 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=37846 ptw_busy_cycles=28841558 ptw_faults=907 fe_stall_total=23521161 fe_stall_xlate=17228364 fe_stall_icache=734104 fe_stall_backend=5558693 flush_commit=503384 flush_bru=0 flush_satp=7 dtlb_lookups=12470449 dtlb_misses=474532 dcache_accesses=5999433 dcache_misses=436079
